Id,Guest name,Review on,Review Site,Review,Rooms ratings,Service ratings,Location ratings,Overall ratings,Hotel highlights,Purpose,Guest type
286,Bloch Nazima Yusuf Bhai,8 years ago,Google,,,,,4,,,
287,Mahesh Jati,5 years ago,Google,,,,,3,,,
288,Vanraj Odedra,4 years ago,Google,,,,,5,,,
289,hiten vora,8 months ago,Google,,,,,2,,,
290,queen*_*D,1 year ago,Google,,,,,5,,,
291,Jasu Vadher,5 years ago,Google,,,,,3,,,
292,Kajal Ghosh,6 years ago,Google,,,,,5,,,
293,Kishit Tanna,3 years ago,Google,,,,,5,,,
294,Kishan Modhavadiya,1 year ago,Google,,,,,5,,,
295,Ashish Gaud,3 years ago,Google,,,,,5,,,
296,Ritu Chudasama,2 years ago,Google,,,,,5,,,
297,shiv sati,9 years ago,Google,,,,,5,,,
298,Romin Popatiya,7 years ago,Google,,,,,3,,,
299,Sudhanshu Rana,3 months ago,Google,,4,,4,5,,,
300,Subhash Khurana,5 years ago,Google,,,,,3,,,
301,Shivakumar Ganachari,7 years ago,Google,,,,,3,Quiet,,
302,Deepak Singh,1 year ago,Google,,3,,2,3,,Holiday and Family,
303,Haresh Makvana,7 years ago,Google,,,,,4,,,
304,Sarvaiya Rahul K (SRK),4 years ago,Google,,,,,5,,,
305,Dr.Ramde Ratadiya,4 years ago,Google,,,,,5,,,
306,Bharat Kadchha,2 years ago,Google,,,,,4,,,
307,Parshuram Mahanor,8 years ago,Google,,,,,2,,,
308,Yash Joshi,4 years ago,Google,,,,,4,,,
309,Dhinakar Harinath,5 years ago,Google,,,,,5,,,
310,Dhaval Kanani,5 years ago,Google,,,,,3,,,
311,Mitesh Kamani,5 years ago,Google,,,,,3,,,
312,Suthar Pratik,3 years ago,Google,,,,,5,,,
313,Hardik Keshwala,4 months ago,Google,,,,,5,,,
314,Abhishek Goswami,10 months ago,Google,,4,,4,4,,Business and Friends,
315,Rashmin Raiyani,2 years ago,Google,,,,,2,,,
316,Jatan Karavadra,7 years ago,Google,,,,,5,,,
317,vipul kotecha,5 years ago,Google,,,,,5,,,
318,Jitendra Panchal,3 years ago,Google,,,,,5,,,
319,Aniket Lohar,2 years ago,Google,,,,,3,,,
320,HARDIK BADARSHAHI,3 years ago,Google,,,,,4,,,
321,Ashvin Tatamiya,8 months ago,Google,,,,,5,,,
322,rashmi kakaniya,3 years ago,Google,,,,,3,,,
323,Viraj Pathak,2 years ago,Google,,,,,5,,,
324,boominathan ravikumar,7 years ago,Google,,,,,3,,,
325,Jagdish Masri Odedra,7 years ago,Google,,,,,5,,,
326,507 Jeet Nandola,7 years ago,Google,,,,,4,,,
327,Team DarkWorld,4 years ago,Google,,,,,3,,,
328,Devanshi Chandarana,4 years ago,Google,,,,,5,,,
329,Mugdha Budhecha,5 years ago,Google,,,,,5,,,
330,yash rupani,6 years ago,Google,,,,,5,,,
331,Santwana Bhattacharya,6 years ago,Google,,,,,4,,,
332,Rajendra prasad Yadav,3 years ago,Google,,,,,5,,,
333,Kenith Thanki,2 years ago,Google,,,,,4,,,
334,king clasher,7 years ago,Google,,,,,3,,,
335,Rakesh Patel,2 years ago,Google,,,,,5,,,
336,Harshit Zala,2 years ago,Google,,,,,5,,,
337,Aryan Sutreja,5 years ago,Google,,,,,5,,,
338,Arshad Molvi,5 years ago,Google,,,,,4,,,
339,naitik pankhania,7 years ago,Google,,,,,4,,,
340,Ashish Bamaniya,5 years ago,Google,,,,,5,,,
341,kano vishnugodiya,5 years ago,Google,,,,,5,,,
342,Raj keshwala Keshwala,6 years ago,Google,,,,,5,,,
343,SAMEER ZADGAONKAR,2 years ago,Google,,,,,2,,,
344,UDYOGI Rajneesh Rao,6 years ago,Google,,,,,5,,,
345,Ashish Poriya,4 years ago,Google,,,,,2,,,
346,Haresh Prajapati,6 years ago,Google,,,,,4,,,
347,Shemoyal Khan,4 years ago,Google,,,,,3,,,
348,Husen Sadikot,7 years ago,Google,,,,,4,,,
349,ajit vikma,3 years ago,Google,,,,,1,,,
350,Vijayabarath PG,5 years ago,Google,,,,,2,,,
351,Pradeep Kumar,2 years ago,Google,,,,,1,,,
352,Alpesh Gohel,3 years ago,Google,,,,,4,,,
353,vipul chauhan,6 years ago,Google,,,,,2,,,
354,Jay Badiger,8 months ago,Google,,,,,5,,,
355,Hitesha Venkat,6 years ago,Google,,,,,5,,,
356,Vijay Dattani,2 years ago,Google,,,,,4,,,
357,ram odedra,7 years ago,Google,,,,,5,,,
358,Jay Gupta Jay Gupta,1 year ago,Google,,,,,5,,,
359,Amit Jethwa,6 years ago,Google,,,,,5,,,
360,Mudita Vidrohi,5 years ago,Google,,,,,4,,,
361,panchal manisha,6 years ago,Google,,,,,4,,,
362,Jiggly Puff,5 years ago,Google,,,,,4,,,
363,Prexoisonous,2 years ago,Google,,,,,5,,,
364,Sunil Vaghela,7 years ago,Google,,,,,4,,,
365,Hardik Parmar,2 years ago,Google,,,,,5,,,
366,Vijay Kodiyatar,5 years ago,Google,,,,,4,,,
367,HITESH NAIDU,1 year ago,Google,,,,,3,,,
368,Rakesh Patel,3 years ago,Google,,,,,4,,,
369,Random video's,5 years ago,Google,,,,,5,,,
370,Bhargav Dhokia,7 years ago,Google,,,,,3,,,
371,pravin Parmar,7 years ago,Google,,,,,5,,,
372,Sushil Macwan,6 years ago,Google,,,,,3,,,
373,Umesh Joshi,2 months ago,Google,,,,,4,,,
374,Raju Amipara,2 years ago,Google,,,,,3,,,
375,Nikhil Patel,2 months ago,Google,,,,,4,,,
376,Amit Thakrar,2 years ago,Google,,,,,5,,,
377,RONAK Sig,3 years ago,Google,,,,,5,,,
378,Chirag Lakhani,1 year ago,Google,,,,,5,,,
379,Ram Parmar,1 year ago,Google,,4,,4,4,,,
380,shayu chaudhary jaat,4 years ago,Google,,,,,5,,,
381,Sherwani Sarfarajkhaa,8 months ago,Google,,5,,5,5,Luxury,,
382,Mitesh Khakheria,1 year ago,Google,,4,,4,4,,,
383,Narendra Atkekar,2 years ago,Google,,,,,1,,,
384,DrJayesh Jadav,4 years ago,Google,,,,,2,,,
385,nitin singh,5 years ago,Google,,,,,1,,,
386,Ram Prasad Meena,5 years ago,Google,,,,,2,,,
387,Ujjaval Solanki,1 year ago,Google,,3,,4,3,,Business and Solo,
388,chandru shekar,5 years ago,Google,,,,,3,,,
389,UMAIR SHAIKH,1 year ago,Google,,5,,5,5,,Business and Friends,
390,Tejal Chandarana,6 years ago,Google,,,,,3,,,
391,Prajapati Harmik,3 years ago,Google,,,,,5,,,
392,Prakash Rughani,6 years ago,Google,,,,,3,,,
393,Tejas Lakhani,7 years ago,Google,,,,,4,,,
394,khimji lakhani,5 years ago,Google,,,,,5,,,
395,Daksh Odedra,3 years ago,Google,,,,,5,,,
396,Ashok Patel,4 years ago,Google,,,,,5,,,
397,rahul chits,6 years ago,Google,,,,,3,,,
398,Vinesh Lodhari,5 years ago,Google,,,,,2,,,
399,Nishant Odedra,5 years ago,Google,,,,,4,,,
400,Jaydeep Chavda,7 years ago,Google,,,,,5,,,
401,Manoj Thakker,5 years ago,Google,,,,,5,,,
402,Bhavik Kotecha,8 years ago,Google,,,,,5,,,
403,Abhinay Y,8 years ago,Google,,,,,4,,,
404,K.K WARRIORS,2 years ago,Google,,,,,3,,,
405,Rohit Parmar,7 years ago,Google,,,,,4,,,
406,Jalpa Vegad,3 years ago,Google,,,,,5,,,
407,HUSSAIN SADIKOT,7 years ago,Google,,,,,5,,,
408,Vipul patel,7 years ago,Google,,,,,3,,,
409,Harshith M.P,2 years ago,Google,,,,,1,,,
410,Nitin Kumar,5 years ago,Google,,,,,1,,,
411,Utpal Ramkabir,5 years ago,Google,,,,,3,,,
412,umang kanakiya,5 years ago,Google,,,,,5,,,
413,Manoj Jande,5 years ago,Google,,,,,4,,,
414,Siraj Bhagat,7 years ago,Google,,,,,3,,,
415,Harsh Shah,6 years ago,Google,,,,,3,,,
416,Akki Joshi,6 years ago,Google,,,,,5,,,
417,Only Cars,7 years ago,Google,,,,,5,,,
418,Himanshu Patel,6 years ago,Google,,,,,5,,,
419,R M Selvam,4 years ago,Google,,,,,3,,,
420,Ashish Sharma,1 year ago,Google,,,,,5,,,
421,dhiaraj vara,6 years ago,Google,,,,,5,,,
422,Nishant Patil,5 years ago,Google,,,,,4,,,
423,uttam lodhari,7 years ago,Google,,,,,3,,,
424,ABHINANDAN SINGH BARETH,9 months ago,Google,,5,,5,5,,Holiday and Family,
425,KHUNTI RAM,6 years ago,Google,,,,,4,,,
426,ronak majethiya,5 years ago,Google,,,,,5,,,
427,rahul joshi Excellent,6 years ago,Google,,,,,1,,,
428,Mahendra sINGH,7 years ago,Google,,,,,4,,,
429,Shailesh Tewari,6 years ago,Google,,,,,3,,,
430,Nirav Majithia,4 years ago,Google,,,,,5,,,
431,Dipak Vasava,4 years ago,Google,,,,,4,,,
432,Mr.Shiva Verma,4 years ago,Google,,,,,5,,,
433,Raju Godhaniya,4 years ago,Google,,,,,3,,,
434,Ashutosh Pani,7 years ago,Google,,,,,3,,,
435,Shailesh Patel,5 years ago,Google,,,,,1,,,
436,Suketu Ganatra,4 years ago,Google,,,,,4,,,
437,Pritesh Lodha,4 years ago,Google,,,,,2,,,
438,NRLM KHED TEAM,3 years ago,Google,,,,,5,,,
439,Lodha Deep,3 years ago,Google,,,,,5,,,
440,Ajit Chudasama,2 years ago,Google,,,,,5,,,
441,Mayur Variya,6 years ago,Google,,,,,5,,,
442,Ashok Poriya,7 years ago,Google,,,,,3,,,
443,devshi Kadachha,5 years ago,Google,,,,,5,,,
444,Pratap Odedara,11 months ago,Google,,3,,4,4,,,
445,Sitaram Pbr,7 months ago,Google,,,,,5,,,
446,Amar Mishra,5 years ago,Google,,,,,5,,,
447,Khyati Badarshahi,4 years ago,Google,,,,,5,,,
448,Riya Maitra,6 years ago,Google,,,,,4,,,
449,Deepak Nain,6 years ago,Google,,,,,4,,,
450,Sanjay Odedra,3 months ago,Google,,5,,5,5,,,
451,Natha Khunti,6 years ago,Google,,,,,1,,,
452,Sharif Khan,1 year ago,Google,,,,,3,,,
453,Deelip Pund,6 years ago,Google,,,,,1,,,
454,Lina Solanki,4 years ago,Google,,,,,3,,,
455,Lakhan Odedra,7 months ago,Google,,,,,5,,,
456,Vatsal Panchasara,3 years ago,Google,,,,,4,,,
457,Jafar Dhada,5 years ago,Google,,,,,5,,,
458,jack hitesh,6 years ago,Google,,,,,4,,,
459,Ashish Solanki,4 years ago,Google,,,,,5,,,
460,Rajasekar M,8 years ago,Google,,,,,4,,,
461,Nikhil Odedra,6 years ago,Google,,,,,3,,,
462,Nikhil Solanki,4 years ago,Google,,,,,4,,,
463,Ahir Raj Bhadarka,5 years ago,Google,,,,,5,,,
464,Chaitanya Joshi,1 year ago,Google,,3,,3,3,,,
465,Sanjay Patel,3 years ago,Google,,,,,5,,,
466,sangita vaja,3 years ago,Google,,,,,5,,,
467,Minaxi savania,a month ago,Google,,3,,3,4,,,
468,Mayur Joshi,5 years ago,Google,,,,,4,,,
